# Neutrino energy [GeV]    cross section [cm^2]
4.015428610695759744e+03 3.463016959679920491e-42
4.104457079819130740e+03 9.301407281931658023e-42
4.195459452374213470e+03 2.506571609274641679e-41
4.288479492954472335e+03 5.558213150548710470e-41
4.383561936484342368e+03 1.274592558221448685e-40
4.480752509733024453e+03 2.313607197584600429e-40
4.580097953305264127e+03 3.876869622214936781e-40
4.681646044119707767e+03 6.374189014318154721e-40
4.785445618385639136e+03 1.048914102070389364e-39
4.891546595089143921e+03 1.555072562179398900e-39
4.999999999999999091e+03 2.258317264861067225e-39
5.110857990210843127e+03 3.102292901450740366e-39
5.224173879220409617e+03 4.269188204228348684e-39
5.340002162572882298e+03 5.715902804563977684e-39
5.458398544065759779e+03 7.530761771848414832e-39
5.579419962538745494e+03 9.921896256920659343e-39
5.703124619256606820e+03 1.307230441409949503e-38
5.829572005899161013e+03 1.699559508200322696e-38
5.958822933171836667e+03 2.177176369728723934e-38
6.090939560050579530e+03 2.725268959493395179e-38
6.225985423675165293e+03 3.374503081232492839e-38
6.364025469905292084e+03 4.123481823482797889e-38
6.505126084554156478e+03 4.924231412656643741e-38
6.649355125314518773e+03 5.880484793055526763e-38
6.796781954392633452e+03 7.022437077206677141e-38
6.947477471865693587e+03 8.373420261907101856e-38
7.101514149778922729e+03 9.793707349753497308e-38
7.258966066998594215e+03 1.141688727296390077e-37
7.419908944837829949e+03 1.321261316610544489e-37
7.584420183472267126e+03 1.525232126657648045e-37
7.752578899163125243e+03 1.742965892717607604e-37
7.924465962305569519e+03 1.990334124834192168e-37
8.100164036320657033e+03 2.258380000423357473e-37
8.279757617409590239e+03 2.550018446478677203e-37
8.463333075189379088e+03 2.861252836254866496e-37
8.650978694229470420e+03 3.203827118585403070e-37
8.842784716509291684e+03 3.587594924718147765e-37
9.038843384817178958e+03 4.010574102936716415e-37
9.239248987111461247e+03 4.436262827566175158e-37
9.444097901865212407e+03 4.894314377670465645e-37
9.653488644416256648e+03 5.399837187490655368e-37
9.867521914344893958e+03 5.957771717331655588e-37
1.008630064390205189e+04 6.545401768236721195e-37
1.030993004751111584e+04 7.143389201147976457e-37
1.053851767236741034e+04 7.796167415827562863e-37
1.077217345015943101e+04 8.508773817412570893e-37
1.101100974993688942e+04 9.284630677204937812e-37
1.125514143215089098e+04 1.007714216534841621e-36
1.150468590389229939e+04 1.089271957381036912e-36
1.175976317535480484e+04 1.177465935230796768e-36
1.202049591754986977e+04 1.272521706779993526e-36
1.228700952130131554e+04 1.371218394260964955e-36
1.255943215754790981e+04 1.477582841046708853e-36
1.283789483898294930e+04 1.586127955491615776e-36
1.312253148306051298e+04 1.698094716245568611e-36
1.341347897639863550e+04 1.812503507755931530e-36
1.371087724061042718e+04 1.934640631342577564e-36
1.401486929959476038e+04 2.065029579265458978e-36
1.432560134831890718e+04 2.199397585069888832e-36
1.464322282312618518e+04 2.339746492535678832e-36
1.496788647360244977e+04 2.489182317232652637e-36
1.529974843603597765e+04 2.636796021228575164e-36
1.563896830850606784e+04 2.791886357133820528e-36
1.598570922763648014e+04 2.953085564226912399e-36
1.634013794705062537e+04 3.118714578762816347e-36
1.670242491756621894e+04 3.293801046531738884e-36
1.707274436916800187e+04 3.476232339920972181e-36
1.745127439479789609e+04 3.657285560493830551e-36
1.783819703600294451e+04 3.846773206781164116e-36
1.823369837048220870e+04 4.039308182296117269e-36
1.863796860157468836e+04 4.241752642085769233e-36
1.905120214973136535e+04 4.454652316141136468e-36
1.947359774601530808e+04 4.678589695041223753e-36
1.990535852767484539e+04 4.914187855432705210e-36
2.034669213583570672e+04 5.136007134096084648e-36
2.079781081535921112e+04 5.361973616142842863e-36
2.125893151691446838e+04 5.598384472687810553e-36
2.173027600131349027e+04 5.845810152765627343e-36
2.221207094615999813e+04 6.104869178929242423e-36
2.270454805486239275e+04 6.370481875126222257e-36
2.320794416806390655e+04 6.645171040251724626e-36
2.372250137754331445e+04 6.932674587560123710e-36
2.424846714264099865e+04 7.233728916433505705e-36
2.478609440926637399e+04 7.549134858716188459e-36
2.533564173154387390e+04 7.857848866073620333e-36
2.589737339615606106e+04 8.162209981828947744e-36
2.647155954944358746e+04 8.479723358146862604e-36
2.705847632732318380e+04 8.811142464268322435e-36
2.765840598808613140e+04 9.157288701654334402e-36
2.827163704814115044e+04 9.517445921715352735e-36
2.889846442076662061e+04 9.883615981707451855e-36
2.953918955793977511e+04 1.026584776980911673e-35
3.019412059530984334e+04 1.066046761216217792e-35
3.086357250038582060e+04 1.106123747984916431e-35
3.154786722400971121e+04 1.147977989431527649e-35
3.224733385518816431e+04 1.190465737748831284e-35
3.296230877935701574e+04 1.234626375440880984e-35
3.369313584015476954e+04 1.277452859185513327e-35
3.444016650478287193e+04 1.321884621383364654e-35
3.520376003303228208e+04 1.368199182615451058e-35
3.598428365005763771e+04 1.415448107714377542e-35
3.678211272298209951e+04 1.464040130741605401e-35
3.759763094141780311e+04 1.514634440654281414e-35
3.843123050198872079e+04 1.567341965504038276e-35
3.928331229694475041e+04 1.622281944407149731e-35
4.015428610695759562e+04 1.678121393112099506e-35
4.104457079819130013e+04 1.731669926684879454e-35
4.195459452374214015e+04 1.787318045657382207e-35
4.288479492954472516e+04 1.845177388354511403e-35
4.383561936484342732e+04 1.905367407662406393e-35
4.480752509733024635e+04 1.967695050680520646e-35
4.580097953305263945e+04 2.030515295202847911e-35
4.681646044119707949e+04 2.095772605677856365e-35
4.785445618385639682e+04 2.163589112764944299e-35
4.891546595089143375e+04 2.234094622035746226e-35
